"TIV of arms exports to all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 05 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Belgium,198,485,920,704,411,361,682,681,888,176,92,132,188,569,644,507,101,35,216,232,528,509,512,599,111,128,177,180,427,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,56,21,15,3,27,174,203,90,32,21,32,46,103,56,4,3,17775
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,1
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,7,,,10,3,1,3,,1,0,0,,,,,,,,,,,,,7,,,,,3,,1,0,0,20,2,,,,,93
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,3
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,1,1,14,16,1,2,2,13,10,20,33,16,1,11,49,39,26,6,,,18,13,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,705
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,,,,167
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,9,,,,4,,26,40,4,22,2,2,11,,11,32,71,2,,53,15,1,9,8,,,,,13,10,,6,8,,,5,3,380
Brazil,,615,,133,113,379,55,152,140,129,237,212,62,128,25,150,57,218,236,110,219,181,514,602,256,539,582,554,895,407,367,64,75,92,125,89,140,234,129,745,150,168,90,58,313,248,545,473,239,365,121,631,223,110,86,224,179,189,180,156,317,312,311,223,218,222,116,103,16529
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,2,1,15,1,0,,46,65,,8,12,85,60,,13,,,,3,3,,,,,17,31,7,5,,4,1,0,0,1,2,,,33,33,229,22,15,122,36,,,921
Bulgaria,156,63,93,345,617,307,319,456,631,165,474,523,494,538,326,372,218,329,250,532,765,395,465,290,305,394,375,492,885,322,574,961,575,728,910,598,918,435,243,334,759,340,41,1,1,1,122,,,7,,,,2,12,132,22,48,116,119,8,29,5,,,3,,,19940
Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,8,8,9,,,0,9,1,16,9,2,2,,12,,,2,,7,,,,,,0,,,,,,12,1,4,,2,0,15,4,,5,,7,2,142
Burundi,,,,,,,,,,,,,,,,,5,2,,3,,,,0,,,,,,,1,5,3,9,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,2,,58
Cambodia,,,,,4,16,34,10,4,2,1,2,5,11,39,39,37,20,15,18,6,21,105,123,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,73,1,28,21,,,,,,,,,14,56,,4,34,,77,67,,,,,1497
Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,12,,,29,73,,1,,28,114,5,126,17,11,5,1,3,8,,3,,,,4,6,9,4,,7,6,,,5,2,,1,,10,,9,139,122,7,20,8,815
Canada,605,1000,1060,1624,1208,1006,718,749,244,368,171,1576,1231,1012,728,527,273,243,324,504,611,455,382,80,196,223,28,28,172,235,441,452,274,647,646,848,810,787,742,67,160,751,410,201,482,411,431,362,129,196,569,538,436,152,352,124,104,455,407,101,228,344,205,202,325,421,228,295,32311
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,3,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,69
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,2,5,1,6,,,1,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,45
Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,8,3,,,10,,,33,9,1,22,21,9,57,,,,,3,1,,,7,7,,16,,,,,17,20,75,35,38,1,4,59,58,1,,2,545
Chile,1,247,19,10,40,5,90,28,32,20,312,45,19,127,34,57,80,140,62,17,62,198,51,278,299,195,413,25,117,103,145,148,344,137,450,10,174,156,87,141,130,111,173,88,82,342,178,296,87,207,202,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,40,50,11433
China,2703,2310,3822,3537,3503,1600,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,71,110,214,392,1169,1187,274,680,1494,900,382,1785,2552,2850,2891,2373,3315,3607,2885,1677,1877,1392,1045,1113,1686,1388,1148,1142,991,1117,77296
Colombia,3,8,15,12,31,13,35,15,298,10,5,62,3,20,9,18,32,15,32,121,4,35,129,165,1,287,10,8,12,36,15,28,18,301,661,7,6,4,37,220,13,72,36,68,42,35,49,195,157,44,60,276,171,147,18,16,52,227,110,248,255,145,207,164,159,205,21,102,6033
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,9
Congo,,,,,,,,,,,1,0,,0,,0,,,1,24,9,25,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,,,,,,,27,0,1,0,,,,,4,1,0,,1,27,,23,12,13,2,,,445
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,2,,3,,,6,2,1,,,,0,2,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,,,27
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,19,2,7,17,1,,18,,,22,16,38,55,18,,,9,,,,,2,,,0,,,2,,0,,2,0,,32,61,9,,,,,,,,,,6,6,6,4,361
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,15,31,,,,57,2,24,8,,,19,99,4,10,17,17,,63,11,22,11,517
Cuba,,9,0,0,3,13,35,8,23,10,129,529,1288,298,246,130,232,162,155,155,155,162,462,430,418,200,317,615,509,416,353,976,981,775,423,352,281,73,167,94,169,159,,,,,,,,,,,,,,,,,,,,,,,,,,,11908
Cyprus,,,,,,,,,,,,,,,22,23,,,,,,,,9,,,,,,,,,5,19,23,32,38,33,122,29,70,82,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,,,44,41,6,,,,,30,1327
Czechoslovakia,96,419,803,975,1272,1287,469,153,562,840,534,667,547,585,579,698,690,754,868,851,748,1123,978,1080,1110,852,215,301,561,498,468,837,912,819,920,1158,807,662,754,1034,132,57,,,,,,,,,,,,,,,,,,,,,,,,,,,29674
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,6,0,1,14,65,48,97,7,594,45,10,23,6,13,71,22,15,,0,,,1063
Denmark,96,72,361,648,165,172,159,157,97,250,109,335,57,133,482,449,66,72,71,19,312,362,111,,39,149,360,372,367,57,569,567,559,231,72,92,16,99,99,185,124,151,61,56,85,133,71,77,116,68,50,153,51,54,228,120,83,146,96,130,17,,109,42,177,46,115,54,11199
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,5,2,3,3,,1,8,1,,,,1,19,5,,3,,,,,1,,3,,4,7,,,,,,,6,5,14,1,19,,153
Dominican Republic,2,12,43,21,2,6,7,1,17,4,19,11,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,5,31,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,51,12,,,,1,0,,428
DR Congo,,,,,,,,,,,2,9,13,32,83,31,26,16,7,28,19,155,15,5,11,391,132,31,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,88,15,12,,,19,17,,18,41,151,,10,1,,1,43,,1703
East Germany (GDR),29,,178,92,10,,678,1122,1064,490,306,227,791,789,1054,922,1331,1181,1256,833,849,575,999,1052,998,580,1301,1083,1084,916,919,782,1073,926,1106,1363,654,362,599,695,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,30672
Ecuador,,,,11,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,81,35,15,25,42,226,573,191,109,257,123,266,417,369,23,25,40,26,20,3,139,4,18,9,36,30,95,27,17,,10,1,,15,48,17,2,102,77,90,68,88,11,53,27,26,20,4205
Egypt,163,57,0,1,142,698,1065,479,488,334,143,548,690,741,847,954,1533,2297,1362,1326,1802,2050,3334,2593,1099,571,164,414,134,630,1004,1182,2492,1704,1500,968,1480,1643,419,295,562,890,978,1255,2020,1716,993,1050,469,514,837,847,719,630,654,780,705,690,333,159,686,630,281,675,380,1452,1711,2355,64321
ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,1,31,48,15,8,1,8,12,5,35,12,62,44,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,4,,,,2,,20,,1,,437
EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,12,,28,30,68,3,57,65,2,92,,14,,396
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,,,,680
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,12,4,1,27,,1,13,8,20,7,19,29,43,13,1,2,18,2,18,31,30,334
Ethiopia,2,19,,6,8,1,1,16,23,6,24,4,21,27,4,14,99,30,33,24,89,54,33,5,16,58,135,1096,982,113,367,365,558,407,360,334,435,326,230,47,3,80,,,,,,69,211,155,140,,20,174,239,,,,,,54,76,193,153,33,10,5,1,7988
FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,,34
Finland,,,19,,,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,174,127,90,30,105,47,328,119,132,112,126,203,97,69,142,85,90,65,435,407,246,197,553,398,552,770,474,9,12,227,77,107,136,108,135,42,50,58,76,320,196,293,201,100,9203
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
France,218,988,1144,1699,1409,1342,1240,701,1086,852,507,356,153,63,1185,255,76,93,113,101,124,141,93,116,52,45,233,250,278,64,70,101,137,103,68,15,96,84,137,107,60,944,420,91,75,97,64,223,174,110,107,66,43,57,93,2,67,74,5,76,103,33,91,107,17,42,45,65,19244
FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Gabon,,,,,,,,,,,,3,,,3,0,2,,2,4,1,24,,2,10,35,48,28,80,,26,37,5,11,102,2,7,10,28,10,29,,,,,,,,,,,,,,6,,20,18,,,22,5,1,2,,5,6,,593
Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,36
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,37,92,97,161,97,36,,2,,5,1,,,7,686
Germany (FRG),,,,,,85,1296,2107,2929,1515,2018,1973,2466,3219,3710,3323,3211,1324,1198,1256,1475,2340,805,1709,2109,1813,1395,1049,709,77,237,352,526,468,374,111,311,321,430,708,716,694,685,535,423,228,246,61,543,129,113,133,71,64,239,204,416,82,293,339,283,99,142,113,108,95,61,65,56127
Ghana,,,,,,,,,,1,12,105,20,6,40,40,24,1,,,,,12,8,19,28,39,,18,7,38,50,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,35,0,0,16,,11,2,76,39,63,14,13,14,,828
Greece,97,500,307,86,152,203,92,354,475,314,264,82,330,98,631,486,210,370,104,303,302,585,707,246,418,912,1298,991,1280,739,665,948,462,404,364,189,202,36,528,1216,903,484,2130,864,1182,874,382,812,1725,847,708,787,400,2178,1116,411,721,1713,499,1237,641,81,29,47,204,771,324,56,40073
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guatemala,,6,,,2,9,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,1,15,52,18,1,1,5,8,47,16,2,7,25,2,0,0,4,0,0,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,391
Guinea,,,,,,,,,,18,33,0,,0,0,17,,6,,0,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,40,,,60,1,1,,,,,,,4,,18,6,,2,,1,,0,,,4,1,4,,5,,,,418
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,12,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,181
GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,2,0,15,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,,,,,0,,,,,,,,,,91
Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,8,,,,3,4,1,1,0,9,,,4,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0,,,,3
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,9,,,20,20,,,,,,,,66
Honduras,,1,2,,1,,9,1,20,1,,,14,,,1,6,,,19,,,,2,,31,32,25,29,9,13,27,30,33,25,35,75,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,1,10,566
Hungary,56,53,13,802,700,223,1,59,259,331,599,575,290,379,747,667,150,290,271,447,22,247,121,402,567,498,378,394,589,485,387,144,142,117,251,229,79,80,35,59,14,22,,925,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,,14,7,14096
Huthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,123
India,140,278,104,430,265,350,366,978,953,855,544,1122,371,647,920,1049,994,1264,1655,1518,872,1864,1801,1324,1289,1102,1928,2385,1197,1193,1784,2141,2287,2661,2769,2980,4130,3835,3758,3577,2715,1878,1200,735,883,1479,862,1665,758,1216,995,1200,2031,2758,2225,1204,1488,2267,1845,1863,2909,3596,4395,5322,3227,2845,3296,3358,119893
Indonesia,212,58,14,6,16,25,42,26,621,679,436,895,1068,180,518,338,16,1,1,9,28,92,5,73,73,4,156,60,126,377,910,797,360,228,100,289,432,264,294,248,202,11,52,215,472,285,380,108,90,165,151,27,68,356,79,36,65,587,244,441,225,250,213,797,1187,445,389,1196,18809
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Iran,4,6,0,1,75,111,121,53,129,107,11,107,110,137,141,182,442,381,894,1236,1192,1731,1413,2053,2845,5171,4466,5560,3743,535,278,487,541,509,469,648,803,833,478,192,454,1022,432,987,452,296,615,178,381,323,418,524,435,282,121,57,423,331,62,62,103,100,46,31,13,13,398,4,46757
Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1861,1440,1103,1135,1084,1817,1359,2239,2587,3223,3298,4541,4107,3372,3453,1888,1492,779,,,,,,,,,,,,,,71,186,312,275,378,398,434,574,476,353,633,1403,1827,712,53256
Ireland,2,,,4,,,8,,,1,1,,,2,1,,,,,,7,9,22,3,1,4,3,5,28,31,48,15,,,11,,38,,24,,,11,,,43,,,,3,35,0,45,22,,19,5,13,19,22,0,5,2,1,,40,43,43,3,641
Israel,53,92,74,112,49,117,641,133,143,223,163,84,261,396,417,437,319,282,961,1371,1126,1345,893,1973,1186,1654,1953,1274,1347,710,1273,1658,869,491,288,310,1185,1080,582,24,81,1219,1313,716,757,364,117,67,1291,1191,368,131,349,189,852,1133,1122,832,676,153,67,85,120,153,510,675,610,528,43214
Italy,158,233,463,784,308,587,1151,941,417,421,390,426,666,997,1115,722,395,106,192,481,555,1090,1748,1001,1111,1016,711,518,692,605,479,133,251,307,273,206,199,183,179,196,158,206,188,208,201,334,286,519,56,25,241,221,239,564,451,162,433,525,224,113,115,298,219,92,144,252,762,794,30438
Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,129
Japan,,,8,223,316,411,758,1059,1239,668,859,338,223,204,1809,1209,324,619,559,531,658,781,677,640,1007,1685,1674,975,1094,997,1067,1347,1462,1707,2063,1982,1904,1949,2007,2297,2703,2953,2520,2139,1026,1242,858,825,1475,1268,493,442,446,483,403,398,479,517,681,611,392,304,242,296,313,349,347,500,64035
Jordan,0,,0,0,27,34,62,,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,369,334,461,590,276,383,404,1064,789,480,293,250,143,247,59,16,24,,1,5,19,75,77,248,64,133,160,132,281,168,49,48,176,161,234,89,215,176,75,196,236,212,386,11233
Katanga,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,20,,47,42,44,82,25,39,58,62,94,141,95,444,244,209,2143
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,20,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,178,,23,42,14,,,30,,,61,,,15,,,,,,,10,,34,116,14,62,1,17,30,28,13,1577
